Situation familiale;Sexe du membre;Nombre de 2rm conduits par le membre;Nombre d'enfants à charge;Département d'habitation en France;Tranche_âge;Année de mise en circulation du 2rm 1;Cylindrée du 2rm 1;Segment du 2rm 1;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
En couple sans enfant;Homme;3;0;77;40-49 ans;2014;1690;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;3;75;40-49 ans;2015;800;Trail / Supermotard;Cadre;False
En couple avec enfant(s);Homme;4;2;34;50-59 ans;1992;600;Trail / Supermotard;En recherche d'emploi;False
En couple avec enfant(s);Homme;1;2;25;40-49 ans;2012;675;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;94;50-59 ans;2019;1050;Roadster;Cadre;False
En couple avec enfant(s);Homme;3;3;13;50-59 ans;1987;650;Trail / Supermotard;Profession intermédiaire;False
En couple sans enfant;Femme;3;0;28;40-49 ans;2015;650;Sportive;Cadre;False
En couple avec enfant(s);Homme;1;2;31;40-49 ans;2004;1200;Routière / GT;Cadre;False
Seul(e) sans enfant;Homme;1;0;74;60-69 ans;2012;1200;Trail / Supermotard;Retraité;False
En couple sans enfant;Homme;6;0;59;60-69 ans;2016;750;Roadster;Retraité;False
En couple avec enfant(s);Homme;1;1;40;50-59 ans;1993;1200;Roadster;Employé;False
En couple sans enfant;Homme;1;0;1;60-69 ans;2011;1300;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;6;2;10;40-49 ans;2009;1300;Roadster;En recherche d'emploi;False
En couple avec enfant(s);Homme;1;2;95;30-39 ans;2010;1300;Roadster;Employé;False
En couple sans enfant;Homme;3;0;17;50-59 ans;2003;1000;Sportive;Autre sans activité professionnelle (personne au foyer...);False
Seul(e) sans enfant;Homme;1;0;95;40-49 ans;2010;1198;Sportive;Profession libérale et artistique;False
En couple sans enfant;Homme;1;0;95;50-59 ans;2002;1150;Routière / GT;Employé;False
En couple avec enfant(s);Homme;1;1;33;40-49 ans;2010;650;Roadster;Cadre;False
En couple avec enfant(s);Homme;2;1;49;60-69 ans;2013;800;Roadster;Employé;False
En couple avec enfant(s);Homme;2;2;10;60-69 ans;2005;1450;Routière / GT;Agriculteur exploitant;False
En couple avec enfant(s);Homme;2;1;14;60-69 ans;2016;800;Roadster;Cadre;False
Seul(e) sans enfant;Femme;1;0;75;40-49 ans;2011;125;Scooter;Cadre;False
En couple avec enfant(s);Homme;2;2;77;40-49 ans;2019;1200;Trail / Supermotard;Employé;False
En couple sans enfant;Homme;1;0;93;40-49 ans;2008;700;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;4;1;92;60-69 ans;2017;1200;Routière / GT;Profession libérale et artistique;False
En couple sans enfant;Homme;1;0;42;60-69 ans;2004;1600;Custom;Profession intermédiaire;False
En couple sans enfant;Homme;1;0;15;50-59 ans;2003;1200;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;4;64;50-59 ans;2011;800;Routière / GT;Ouvrier;True
En couple avec enfant(s);Homme;1;4;92;50-59 ans;2010;400;Side-car / Trike;Artisan, commerçant assimilé;False
En couple sans enfant;Homme;1;0;11;70 et plus;2017;1200;Roadster;Profession libérale et artistique;False
En couple avec enfant(s);Homme;2;2;63;60-69 ans;2015;1200;Trail / Supermotard;Retraité;False
En couple sans enfant;Homme;1;0;62;50-59 ans;2009;1000;Roadster;Employé;False
En couple sans enfant;Homme;1;0;6;50-59 ans;2013;1200;Routière / GT;Employé;False
En couple sans enfant;Homme;2;0;19;50-59 ans;2014;650;Trail / Supermotard;Profession libérale et artistique;False
Seul(e) sans enfant;Femme;1;0;13;50-59 ans;1996;125;Custom;Employé;False
Seul(e) sans enfant;Homme;1;0;89;40-49 ans;2003;1000;Sportive;Employé;False
En couple avec enfant(s);Homme;1;1;95;40-49 ans;2015;1200;Trail / Supermotard;Cadre;False
En couple avec enfant(s);Homme;1;2;31;60-69 ans;2015;1200;Routière / GT;Retraité;False
En couple sans enfant;Homme;1;0;15;70 et plus;2015;500;Roadster;Retraité;False
Seul(e) avec enfants;Homme;2;1;93;50-59 ans;2011;500;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;42;60-69 ans;2018;1260;Roadster;Retraité;False
En couple avec enfant(s);Homme;1;2;79;40-49 ans;2000;600;Roadster;En recherche d'emploi;False
En couple sans enfant;Homme;1;0;13;60-69 ans;2006;700;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;2;2;31;40-49 ans;2014;1200;Routière / GT;Cadre;False
En couple sans enfant;Homme;1;0;72;60-69 ans;2012;1200;Routière / GT;Artisan, commerçant assimilé;False
Seul(e) avec enfants;Femme;2;3;73;50-59 ans;2000;1000;Sportive;Employé;False
En couple sans enfant;Homme;1;0;40;60-69 ans;2018;850;Roadster;Retraité;True
En couple sans enfant;Homme;2;0;59;50-59 ans;2003;1200;Sportive;Cadre;False
Seul(e) avec enfants;Homme;2;2;34;50-59 ans;2017;650;Roadster;Profession libérale et artistique;True
En couple sans enfant;Femme;1;0;95;30-39 ans;2017;900;Roadster;Cadre;False
En couple avec enfant(s);Femme;1;2;33;30-39 ans;2010;675;Sportive;Employé;False
En couple sans enfant;Homme;1;0;59;70 et plus;2009;1200;Roadster;Retraité;False
En couple avec enfant(s);Homme;1;1;60;50-59 ans;2011;1300;Routière / GT;Cadre;False
En couple sans enfant;Homme;2;0;91;50-59 ans;2016;950;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;2;14;40-49 ans;2006;1200;Routière / GT;Ouvrier;False
Seul(e) sans enfant;Homme;2;0;94;60-69 ans;2019;1250;Trail / Supermotard;Retraité;False
En couple avec enfant(s);Homme;1;1;67;50-59 ans;1983;550;Roadster;Cadre;False
Seul(e) avec enfants;Homme;1;1;77;50-59 ans;2011;1000;Roadster;Cadre;False
En couple avec enfant(s);Homme;2;1;75;50-59 ans;2007;600;Roadster;Cadre;False
En couple sans enfant;Homme;2;0;83;30-39 ans;2017;1000;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;60;30-39 ans;2019;300;Roadster;Ouvrier;False
En couple sans enfant;Homme;1;0;81;40-49 ans;2011;1100;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;93;40-49 ans;2013;1190;Trail / Supermotard;Cadre;False
Seul(e) sans enfant;Homme;1;0;91;40-49 ans;2005;1300;Roadster;Employé;False
En couple avec enfant(s);Homme;1;1;91;50-59 ans;2013;1200;Routière / GT;Cadre;True
En couple avec enfant(s);Homme;1;2;95;40-49 ans;2016;1050;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;77;30-39 ans;2012;1200;Routière / GT;Cadre;False
En couple sans enfant;Homme;1;0;59;60-69 ans;2007;1200;Roadster;Retraité;False
En couple sans enfant;Homme;3;0;87;50-59 ans;2013;1200;Routière / GT;Profession intermédiaire;False
En couple avec enfant(s);Homme;1;3;91;40-49 ans;2019;900;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;3;33;50-59 ans;2007;1000;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;74;40-49 ans;2003;900;Roadster;Employé;False
En couple sans enfant;Homme;2;0;6;50-59 ans;1999;1100;Roadster;Employé;False
En couple avec enfant(s);Homme;1;2;35;30-39 ans;1997;750;Roadster;Employé;False
En couple sans enfant;Homme;2;0;40;Moins de 30 ans;2004;650;Sportive;Cadre;True
En couple sans enfant;Homme;2;0;69;60-69 ans;2015;1400;Routière / GT;Retraité;False
Seul(e) avec enfants;Homme;3;2;37;50-59 ans;2004;650;Trail / Supermotard;Retraité;False
En couple sans enfant;Homme;1;0;28;60-69 ans;2008;1200;Trail / Supermotard;Ouvrier;False
En couple avec enfant(s);Homme;1;3;78;50-59 ans;2005;500;Scooter;Cadre;False
Seul(e) sans enfant;Homme;3;0;27;30-39 ans;2008;1200;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;76;70 et plus;2001;1400;Roadster;Retraité;False
En couple avec enfant(s);Homme;2;1;69;40-49 ans;2008;1100;Roadster;Employé;False
En couple avec enfant(s);Homme;3;2;77;50-59 ans;2014;1300;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;2;1;50-59 ans;2008;1000;Roadster;Employé;False
Seul(e) sans enfant;Homme;1;0;6;40-49 ans;2014;1300;Roadster;Employé;False
Seul(e) sans enfant;Homme;1;0;93;60-69 ans;2015;1000;Roadster;Ouvrier;False
Seul(e) sans enfant;Homme;2;0;30;40-49 ans;2012;1250;Roadster;Employé;False
En couple sans enfant;Homme;2;0;74;Moins de 30 ans;2017;1100;Roadster;Employé;False
En couple avec enfant(s);Homme;1;1;63;60-69 ans;2007;650;Roadster;Cadre;False
Seul(e) avec enfants;Homme;2;2;1;40-49 ans;1993;1100;Custom;Cadre;False
En couple sans enfant;Homme;8;0;33;60-69 ans;2014;800;Routière / GT;Retraité;True
En couple sans enfant;Homme;1;0;95;50-59 ans;2007;1400;Routière / GT;Profession intermédiaire;False
En couple avec enfant(s);Femme;2;3;13;50-59 ans;2012;125;Custom;Cadre;True
Seul(e) sans enfant;Homme;1;0;33;30-39 ans;2012;800;Roadster;Employé;True
En couple sans enfant;Homme;2;0;6;50-59 ans;2019;650;Routière / GT;Profession libérale et artistique;True
En couple avec enfant(s);Homme;1;2;94;50-59 ans;2006;400;Scooter;Cadre;True
En couple avec enfant(s);Homme;1;1;69;40-49 ans;2018;1200;Trail / Supermotard;Cadre;False
Autre;Homme;1;0;6;60-69 ans;2011;1200;Roadster;Retraité;False
En couple avec enfant(s);Homme;5;3;92;70 et plus;1979;500;Roadster;Retraité;False
Seul(e) sans enfant;Homme;1;0;78;70 et plus;1991;1100;Roadster;Retraité;False
En couple avec enfant(s);Homme;1;2;33;40-49 ans;2007;650;Roadster;Profession intermédiaire;True
En couple avec enfant(s);Homme;3;1;32;60-69 ans;2015;125;Scooter;Retraité;False
En couple avec enfant(s);Homme;1;2;25;40-49 ans;2016;1000;Roadster;Employé;False
En couple avec enfant(s);Homme;1;1;77;50-59 ans;2010;750;Sportive;Employé;False
En couple avec enfant(s);Homme;3;2;38;50-59 ans;2000;1300;Roadster;Profession libérale et artistique;False
En couple avec enfant(s);Homme;1;1;95;50-59 ans;1996;600;Scooter;Employé;False
En couple avec enfant(s);Homme;2;4;91;50-59 ans;2015;1300;;Cadre;True
En couple sans enfant;Homme;1;0;84;60-69 ans;2011;1300;Roadster;Artisan, commerçant assimilé;False
En couple sans enfant;Homme;1;0;83;70 et plus;2012;1300;Routière / GT;Retraité;False
En couple sans enfant;Homme;2;0;85;40-49 ans;2009;1200;Routière / GT;Artisan, commerçant assimilé;False
En couple avec enfant(s);Homme;1;2;67;40-49 ans;2008;600;Sportive;Profession intermédiaire;False
En couple sans enfant;Homme;1;0;30;60-69 ans;2009;650;Roadster;Retraité;False
En couple avec enfant(s);Homme;1;3;69;30-39 ans;2012;600;Roadster;Profession intermédiaire;False
En couple avec enfant(s);Homme;9;1;10;40-49 ans;2003;1200;Roadster;Cadre;False
Seul(e) sans enfant;Homme;1;0;31;40-49 ans;2019;900;Trail / Supermotard;Employé;False
En couple sans enfant;Homme;1;0;71;60-69 ans;2018;1745;Custom;Retraité;False
Seul(e) sans enfant;Homme;3;0;31;60-69 ans;2009;800;Roadster;Retraité;False
En couple avec enfant(s);Homme;1;3;44;40-49 ans;2018;883;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;59;60-69 ans;2004;1200;Trail / Supermotard;Retraité;False
En couple sans enfant;Homme;1;0;59;50-59 ans;2005;650;Routière / GT;Employé;False
En couple avec enfant(s);Homme;5;1;34;50-59 ans;1999;1000;Roadster;Employé;False
En couple sans enfant;Homme;2;0;53;60-69 ans;2014;800;Roadster;Retraité;False
Seul(e) sans enfant;Homme;1;0;94;60-69 ans;2017;1200;Routière / GT;Retraité;False
Seul(e) sans enfant;Homme;1;0;22;50-59 ans;2011;1200;Trail / Supermotard;Cadre;False
En couple avec enfant(s);Homme;2;2;79;40-49 ans;2000;900;Routière / GT;Ouvrier;False
En couple avec enfant(s);Homme;2;3;40;40-49 ans;2014;1000;Sportive;Cadre;True
En couple avec enfant(s);Homme;1;4;95;40-49 ans;2017;1200;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;3;2;40;40-49 ans;2017;1200;Roadster;Artisan, commerçant assimilé;False
En couple sans enfant;Homme;3;0;59;60-69 ans;2011;2300;Custom;Retraité;False
En couple avec enfant(s);Homme;3;1;45;40-49 ans;1993;50;Roadster;Employé;False
Seul(e) sans enfant;Homme;1;0;29;50-59 ans;2016;750;Roadster;Profession intermédiaire;False
Autre;Homme;2;0;63;50-59 ans;2011;1600;Routière / GT;Cadre;False
En couple sans enfant;Homme;2;0;69;60-69 ans;2016;1200;Trail / Supermotard;Retraité;True
En couple sans enfant;Homme;1;0;85;60-69 ans;2002;1300;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;2;2;31;50-59 ans;1991;750;Routière / GT;Employé;False
En couple avec enfant(s);Homme;1;1;31;60-69 ans;2015;850;Roadster;Retraité;False
Seul(e) avec enfants;Homme;2;1;60;60-69 ans;2013;800;Routière / GT;Retraité;False
Seul(e) sans enfant;Homme;1;0;14;30-39 ans;2011;800;Roadster;Ouvrier;False
En couple sans enfant;Homme;2;0;54;60-69 ans;2018;1200;Trail / Supermotard;Retraité;True
En couple sans enfant;Homme;1;0;59;50-59 ans;2010;1300;Routière / GT;Cadre;False
Seul(e) sans enfant;Homme;1;0;31;50-59 ans;2019;1000;Roadster;Employé;False
En couple sans enfant;Homme;1;0;33;70 et plus;2010;1200;Roadster;Retraité;False
En couple sans enfant;Homme;1;0;44;60-69 ans;2008;1200;Trail / Supermotard;Retraité;False
En couple sans enfant;Homme;2;0;76;60-69 ans;2007;1200;Routière / GT;Cadre;False
En couple sans enfant;Homme;1;0;78;30-39 ans;2018;500;Roadster;Cadre;True
Seul(e) sans enfant;Homme;1;0;31;30-39 ans;2011;600;Sportive;Cadre;False
Seul(e) avec enfants;Homme;1;1;93;60-69 ans;2005;1150;Trail / Supermotard;Cadre;True
En couple sans enfant;Homme;2;0;63;60-69 ans;2011;1400;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;2;84;40-49 ans;2000;1000;Sportive;Cadre;False
En couple sans enfant;Homme;1;0;94;60-69 ans;2016;1200;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;1;75;60-69 ans;2008;675;Roadster;Employé;False
En couple sans enfant;Homme;1;0;87;60-69 ans;2018;1290;Trail / Supermotard;Retraité;False
En couple sans enfant;Homme;1;0;34;70 et plus;2002;1400;;Retraité;False
Seul(e) sans enfant;Homme;1;0;33;50-59 ans;2016;1200;Trail / Supermotard;Retraité;True
Seul(e) sans enfant;Homme;1;0;92;50-59 ans;2005;999;Sportive;Cadre;False
En couple sans enfant;Homme;1;0;78;50-59 ans;2011;1200;Routière / GT;Cadre;False
Seul(e) sans enfant;Homme;2;0;18;Moins de 30 ans;2017;250;Roadster;Employé;False
Seul(e) avec enfants;Homme;1;3;6;50-59 ans;2003;650;Trail / Supermotard;Cadre;False
En couple sans enfant;Homme;3;0;68;40-49 ans;2017;1200;Roadster;Employé;False
En couple avec enfant(s);Homme;2;1;69;60-69 ans;2013;1800;Routière / GT;Retraité;False
Seul(e) sans enfant;Homme;1;0;33;50-59 ans;2015;650;Roadster;Employé;False
En couple sans enfant;Homme;1;0;75;60-69 ans;2019;1250;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;2;2;6;50-59 ans;2005;1200;Trail / Supermotard;Cadre;False
En couple avec enfant(s);Homme;3;1;74;60-69 ans;2015;800;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;1;33;40-49 ans;2019;650;Roadster;Cadre;True
En couple avec enfant(s);Homme;1;2;30;60-69 ans;2017;1200;Routière / GT;Retraité;False
En couple sans enfant;Homme;1;0;13;40-49 ans;2015;1000;Roadster;Employé;False
En couple sans enfant;Homme;3;0;92;60-69 ans;2004;125;Scooter;Retraité;True
Seul(e) sans enfant;Homme;2;0;91;50-59 ans;2018;1050;Routière / GT;Cadre;False
En couple sans enfant;Homme;1;0;69;50-59 ans;2001;1100;Roadster;En recherche d'emploi;False
En couple avec enfant(s);Homme;1;2;44;60-69 ans;2015;1300;Custom;Employé;True
Seul(e) sans enfant;Homme;1;0;71;40-49 ans;2004;800;Routière / GT;Ouvrier;True
En couple avec enfant(s);Homme;1;2;94;50-59 ans;1997;750;Roadster;Employé;False
En couple sans enfant;Homme;1;0;32;60-69 ans;2017;1200;Trail / Supermotard;Autre sans activité professionnelle (personne au foyer...);False
En couple sans enfant;Homme;1;0;26;30-39 ans;2006;1000;Sportive;Employé;False
En couple sans enfant;Homme;3;0;6;70 et plus;2017;900;Roadster;Retraité;False
Seul(e) sans enfant;Homme;1;0;86;30-39 ans;2016;1800;Custom;Employé;True
Autre;Homme;1;0;44;30-39 ans;2003;600;Sportive;En recherche d'emploi;False
En couple sans enfant;Homme;3;0;53;60-69 ans;1980;1000;Routière / GT;Employé;False
Seul(e) avec enfants;Homme;1;2;26;40-49 ans;2001;1300;Routière / GT;Employé;False
En couple avec enfant(s);Homme;3;3;92;50-59 ans;2010;1300;Routière / GT;Profession libérale et artistique;False
En couple avec enfant(s);Homme;3;1;60;50-59 ans;2006;1300;Routière / GT;Employé;False
En couple sans enfant;Homme;1;0;73;60-69 ans;2012;1690;Routière / GT;Retraité;False
En couple sans enfant;Homme;2;0;78;50-59 ans;2018;1050;Roadster;Employé;False
En couple sans enfant;Homme;2;0;83;30-39 ans;2011;700;Trail / Supermotard;Employé;False
Seul(e) sans enfant;Femme;1;0;51;30-39 ans;2019;125;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;1;60;30-39 ans;2011;1000;Routière / GT;Employé;False
En couple sans enfant;Homme;2;0;33;60-69 ans;2012;1300;Routière / GT;Retraité;False
En couple sans enfant;Homme;1;0;84;60-69 ans;2005;1300;Custom;Retraité;True
En couple avec enfant(s);Homme;1;2;91;30-39 ans;2002;650;Scooter;Ouvrier;True
Seul(e) avec enfants;Homme;1;1;31;50-59 ans;2006;1300;Routière / GT;Profession intermédiaire;False
Seul(e) sans enfant;Homme;1;0;34;60-69 ans;2015;1300;Routière / GT;Cadre;False
Seul(e) sans enfant;Homme;1;0;13;40-49 ans;2013;675;Sportive;Cadre;False
En couple avec enfant(s);Homme;1;1;78;50-59 ans;2012;700;Scooter;Employé;False
En couple sans enfant;Homme;3;0;67;70 et plus;1999;750;Roadster;Retraité;False
En couple sans enfant;Homme;3;0;43;60-69 ans;2013;1800;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;5;3;13;50-59 ans;2013;1190;Trail / Supermotard;Cadre;False
En couple avec enfant(s);Homme;2;2;78;50-59 ans;2005;1200;Roadster;Cadre;False
En couple avec enfant(s);Homme;2;2;38;40-49 ans;1999;800;Routière / GT;Cadre;False
En couple sans enfant;Homme;1;0;26;30-39 ans;2017;750;Routière / GT;Cadre;False
En couple sans enfant;Homme;2;0;74;50-59 ans;2012;1600;Routière / GT;Employé;False
En couple sans enfant;Homme;1;0;92;60-69 ans;1999;1100;Roadster;Cadre;False
En couple sans enfant;Homme;3;0;65;60-69 ans;2006;1400;Roadster;Ouvrier;False
En couple sans enfant;Homme;1;0;26;50-59 ans;2015;1000;Roadster;Profession intermédiaire;True
En couple avec enfant(s);Homme;1;2;13;40-49 ans;2005;1000;Trail / Supermotard;Cadre;False
En couple avec enfant(s);Homme;1;2;92;50-59 ans;2013;1600;Routière / GT;Cadre;False
Seul(e) avec enfants;Femme;3;1;76;40-49 ans;2003;600;Roadster;Employé;True
En couple sans enfant;Homme;1;0;35;60-69 ans;2017;1200;Trail / Supermotard;Profession intermédiaire;False
En couple avec enfant(s);Homme;1;3;69;60-69 ans;1983;1300;Roadster;Cadre;True
En couple sans enfant;Homme;2;0;42;60-69 ans;2019;1200;Routière / GT;Retraité;False
En couple sans enfant;Homme;2;0;45;30-39 ans;2017;850;Roadster;Employé;False
En couple sans enfant;Homme;1;0;21;60-69 ans;1996;900;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;2;60;40-49 ans;2011;1600;Routière / GT;Employé;False
En couple sans enfant;Homme;2;0;69;60-69 ans;2019;1250;Routière / GT;Retraité;False
En couple sans enfant;Homme;1;0;46;60-69 ans;2010;1300;Roadster;Retraité;False
En couple sans enfant;Homme;2;0;69;60-69 ans;2016;1600;Routière / GT;Profession intermédiaire;True
En couple sans enfant;Homme;1;0;65;40-49 ans;1999;800;Routière / GT;Profession intermédiaire;False
Seul(e) sans enfant;Homme;4;0;34;50-59 ans;2015;1200;Routière / GT;Agriculteur exploitant;False
En couple sans enfant;Homme;2;0;91;60-69 ans;2003;1400;Roadster;Profession libérale et artistique;True
En couple avec enfant(s);Homme;11;3;95;50-59 ans;1992;750;Roadster;Cadre;False
En couple sans enfant;Homme;2;0;51;50-59 ans;2007;1300;Routière / GT;Profession intermédiaire;False
Seul(e) avec enfants;Homme;5;1;49;50-59 ans;2008;1200;Trail / Supermotard;Profession intermédiaire;True
En couple avec enfant(s);Homme;1;3;13;60-69 ans;2012;700;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;1;59;50-59 ans;2018;300;Custom;Profession intermédiaire;False
En couple avec enfant(s);Homme;1;1;76;30-39 ans;2001;955;Routière / GT;Cadre;False
En couple sans enfant;Homme;1;0;55;60-69 ans;2014;1200;Trail / Supermotard;Retraité;False
En couple sans enfant;Homme;1;0;46;30-39 ans;2011;1000;Roadster;Ouvrier;False
En couple sans enfant;Homme;1;0;92;30-39 ans;2008;1000;Roadster;Cadre;True
En couple avec enfant(s);Homme;1;3;24;50-59 ans;2000;1000;Sportive;Profession libérale et artistique;True
Seul(e) sans enfant;Homme;1;0;52;30-39 ans;2010;650;Roadster;Employé;True
Seul(e) sans enfant;Homme;1;0;37;50-59 ans;2014;800;Routière / GT;Employé;False
En couple sans enfant;Homme;2;0;78;60-69 ans;2019;1000;Routière / GT;Cadre;True
En couple avec enfant(s);Homme;4;1;38;40-49 ans;2010;125;Sportive;Cadre;True
En couple avec enfant(s);Homme;1;3;54;40-49 ans;2014;1730;Custom;Employé;False
En couple avec enfant(s);Homme;3;1;60;50-59 ans;2004;1000;Roadster;Employé;False
En couple sans enfant;Homme;1;0;44;Moins de 30 ans;2009;650;Roadster;Cadre;False
En couple sans enfant;Homme;2;0;69;60-69 ans;2016;650;Roadster;Employé;False
En couple avec enfant(s);Homme;1;1;93;60-69 ans;2007;1200;Trail / Supermotard;Employé;False
En couple sans enfant;Homme;1;0;25;60-69 ans;2014;1300;Routière / GT;Retraité;True
Seul(e) sans enfant;Homme;1;0;76;40-49 ans;2018;1400;Routière / GT;Employé;False
Seul(e) sans enfant;Homme;1;0;13;60-69 ans;2013;1190;Scooter;Retraité;False
En couple avec enfant(s);Femme;2;2;73;40-49 ans;2000;600;Roadster;Employé;False
En couple sans enfant;Homme;2;0;1;60-69 ans;2007;1200;Routière / GT;Retraité;False
En couple sans enfant;Homme;1;0;59;60-69 ans;2014;1300;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;1;33;30-39 ans;2009;800;Routière / GT;Employé;True
En couple avec enfant(s);Homme;4;3;87;60-69 ans;1971;500;Roadster;Retraité;False
En couple avec enfant(s);Homme;4;2;34;60-69 ans;2011;800;Roadster;Cadre;False
En couple sans enfant;Homme;1;0;95;60-69 ans;2019;1200;Roadster;Retraité;False
En couple avec enfant(s);Homme;1;2;44;50-59 ans;2019;1600;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;2;80;30-39 ans;2018;1100;Roadster;Employé;False
En couple avec enfant(s);Homme;1;3;50;50-59 ans;2016;1200;Routière / GT;Employé;True
En couple avec enfant(s);Homme;1;1;94;50-59 ans;2018;1200;Trail / Supermotard;Cadre;False
Seul(e) sans enfant;Homme;3;0;38;50-59 ans;1995;500;Roadster;Employé;True
En couple avec enfant(s);Homme;1;2;67;50-59 ans;2002;1300;Routière / GT;Cadre;True
En couple avec enfant(s);Homme;1;2;91;50-59 ans;2004;850;Routière / GT;Cadre;False
En couple avec enfant(s);Homme;1;1;64;50-59 ans;2013;1200;Trail / Supermotard;Cadre;True
En couple sans enfant;Homme;1;0;34;60-69 ans;2015;1200;Roadster;Retraité;False
Seul(e) sans enfant;Homme;3;0;59;60-69 ans;2000;650;Trail / Supermotard;Retraité;True
En couple sans enfant;Homme;2;0;94;60-69 ans;2008;700;Routière / GT;Profession libérale et artistique;False
En couple avec enfant(s);Homme;1;1;30;40-49 ans;2004;650;Routière / GT;Employé;False
En couple sans enfant;Homme;1;0;17;50-59 ans;2010;800;Roadster;Profession intermédiaire;False
Seul(e) sans enfant;Homme;1;0;33;30-39 ans;2006;650;Roadster;Cadre;False
En couple avec enfant(s);Homme;1;1;63;30-39 ans;2019;1000;Roadster;Employé;False
En couple sans enfant;Homme;2;0;87;60-69 ans;2010;1400;Routière / GT;Retraité;False
En couple avec enfant(s);Homme;1;1;30;60-69 ans;2003;1150;Trail / Supermotard;Ouvrier;False
En couple avec enfant(s);Homme;1;1;59;50-59 ans;2010;1200;Roadster;Employé;False
