Civilité du membre;Profession du membre;Secteur du 2RM;Statut de la qualification;Sociétaire;Situation familiale;Sexe du membre;Nombre de personnes dans le foyer;Nombre de 2rm conduits par le membre;Nombre d enfants à charge;Département d habitation en France;Age du membre;Tranche_âge;Année de mise en circulation du 2rm 1;Assurance du 2rm 1;Cylindrée du 2rm 1;Fréquence d utilisation du 2rm 1;Nombre de kilomètres parcourus par an avec 2rm 1;Marque du 2rm 1;Segment du 2rm 1;Stationnement du 2RM 1;Usage du 2rm 1;Budget 2-roues (hors carburant);Votre profession :;Votre catégorie socioprofessionnelle :;Aviez-vous l’intention de changer de 2-roues motorisé en 2020 ?
1;Infirmier;Non;Mise à jour;Non;En couple avec enfant(s);Homme;5;1;3;22;47;40-49 ans;2008;MACIF;650;Quelques fois par mois;6000;SUZUKI;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Infirmier;Employé;False
1;informaticien;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;2;0;46;63;60-69 ans;1996;MUTUELLE DES MOTARDS;1100;Quelques fois par semaine;18000;BMW;Routière / GT;Parking privé non clos;Pour les loisirs;250;informaticien;Retraité;False
1;cadre technique;Non;?;Non;En couple avec enfant(s);Homme;4;1;2;91;55;50-59 ans;2017;ASSURANCE CONSTRUCTEUR (BMW, HONDA, KAWASAKI...);1200;Quelques fois par semaine;7000;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;cadre technique;Cadre;False
1;Transport;Non;Qualification initiale;Non;En couple sans enfant;Homme;2;1;0;69;62;60-69 ans;2017;GENERALI;1400;Tous les jours;15000;KAWASAKI;Routière / GT;Parking privé clos;Pour les loisirs;1200;Transport;Retraité;False
1;Opérateur;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;2;1;44;51;50-59 ans;1993;MACIF;900;Quelques fois par an;1000;HONDA;Sportive;Garage individuel (ou box privatif);Pour les loisirs;500;Opérateur;Ouvrier;False
1;éditeur;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;3;49;40-49 ans;2005;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;6000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;300;éditeur;Profession libérale et artistique;False
1;chargé d études information ro;Non;Qualification initiale;Oui;Seul(e) sans enfant;Homme;1;2;0;92;43;40-49 ans;2017;MATMUT;939;Quelques fois par semaine;20000;DUCATI;Sportive;Garage collectif;Pour les loisirs;?;chargé d études information ro;Profession intermédiaire;True
1;maitre nageur;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;1;0;13;29;Moins de 30 ans;1992;MAAF;600;Tous les jours;10000;HONDA;Trail / Supermotard;Voie publique;Pour les trajets domicile travail;300;maitre nageur;Employé;False
1;Ingénieur en informatique;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;95;43;40-49 ans;2014;MUTUELLE DES MOTARDS;125;Tous les jours;12000;YAMAHA;Scooter;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Responsable informatique;Cadre;True
1;Responsable Technique;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;3;0;77;47;40-49 ans;2014;AUTRE;1690;Quelques fois par semaine;15000;HARLEY-DAVIDSON;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;700;Responsable Technique;Cadre;False
1;Cadre de la fonction publique;Non;Mise à jour;Non;En couple avec enfant(s);Homme;5;1;3;75;42;40-49 ans;2015;AMV (ASSURANCE MOTO VERTE);800;Tous les jours;5000;TRIUMPH;Trail / Supermotard;Parking privé non clos;Pour les trajets domicile travail;1500;Cadre de la fonction publique;Cadre;False
1;chef de projets industriels;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;4;2;34;55;50-59 ans;1992;MUTUELLE DES MOTARDS;600;Tous les jours;50000;HONDA;Trail / Supermotard;Parking privé clos;Pour les trajets domicile travail;?;chef de projets industriels;En recherche d emploi;False
1;Professeur de Lycée Technique;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;1;2;25;41;40-49 ans;2012;MACIF;675;Quelques fois par mois;5000;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Professeur de Lycée Technique;Cadre;False
1;Infographiste;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;94;55;50-59 ans;2019;AMV (ASSURANCE MOTO VERTE);1050;Tous les jours;10000;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;800;Infographiste;Cadre;False
1;Admin Syst. d Information Géog;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;5;3;3;13;52;50-59 ans;1987;MUTUELLE DES MOTARDS;650;Tous les jours;15000;HONDA;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Admin Syst. d Information Géog;Profession intermédiaire;False
2;Gestionnaire commerciale;Non;Qualification initiale;Oui;En couple sans enfant;Femme;2;3;0;28;46;40-49 ans;2015;MUTUELLE DES MOTARDS;650;Quelques fois par mois;6000;HONDA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Gestionnaire commerciale;Cadre;False
1;Informaticien;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;4;1;2;31;45;40-49 ans;2004;MAIF;1200;Tous les jours;10000;KAWASAKI;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;Informaticien;Cadre;False
1;cadre;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;1;0;74;68;60-69 ans;2012;MACIF;1200;Quelques fois par semaine;6000;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;?;cadre;Retraité;False
1;Médecin;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;6;0;59;65;60-69 ans;2016;MACIF;750;Quelques fois par semaine;10000;APRILIA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;Retraité;Retraité;False
1;agent de sécurité;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;1;1;40;59;50-59 ans;1993;MACIF;1200;Quelques fois par semaine;5000;HARLEY-DAVIDSON;Roadster;Garage individuel (ou box privatif);Pour les loisirs;300;agent de sécurité;Employé;False
1;Essayeur ... en retraite !;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;1;65;60-69 ans;2011;MACIF;1300;Quelques fois par semaine;7000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;500;Essayeur ... en retraite !;Cadre;False
1;moniteur auto/ moto ecole;Oui;Mise à jour;Non;En couple avec enfant(s);Homme;4;6;2;10;45;40-49 ans;2009;MACIF;1300;Quelques fois par mois;5000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;Recherche d’emploi;En recherche d emploi;False
1;Technicien;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;4;1;2;95;34;30-39 ans;2010;CAISSE D EPARGNE;1300;Quelques fois par mois;5000;YAMAHA;Roadster;Parking privé clos;Pour les trajets domicile travail;?;Technicien;Employé;False
1;mecanicien;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;3;0;17;58;50-59 ans;2003;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;10000;APRILIA;Sportive;Garage individuel (ou box privatif);Pour les loisirs;800;mecanicien en invalidite;Autre sans activité professionnelle (personne au foyer...);False
1;Ingénieur du son;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;1;0;95;46;40-49 ans;2010;MUTUELLE DES MOTARDS;1198;Quelques fois par semaine;7500;DUCATI;Sportive;Parking privé non clos;Pour les trajets domicile travail;1200;Ingénieur du son;Profession libérale et artistique;False
1;Conducteur RER RATP;Non;Qualification initiale;Oui;En couple sans enfant;Homme;2;1;0;95;56;50-59 ans;2002;MUTUELLE DES MOTARDS;1150;Tous les jours;20000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;500;Conducteur RER RATP;Employé;False
1;Service Delivery Manager;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;3;1;1;33;46;40-49 ans;2010;MUTUELLE DES MOTARDS;650;Tous les jours;15000;SUZUKI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;2000;Service Delivery Manager;Cadre;False
1;ENCADRANT TECHNIQUE;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;3;2;1;49;61;60-69 ans;2013;MACIF;800;Quelques fois par mois;6000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;ENCADRANT TECHNIQUE;Employé;False
1;agriculteur;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;2;2;10;60;60-69 ans;2005;AXA;1450;Quelques fois par semaine;20000;HARLEY-DAVIDSON;Routière / GT;Parking privé clos;Pour les loisirs;500;agriculteur;Agriculteur exploitant;False
1;Informaticien;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;2;1;14;62;60-69 ans;2016;MUTUELLE DES MOTARDS;800;Quelques fois par an;8000;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1500;Informaticien;Cadre;False
3;Ressources humaines;Non;Mise à jour;Non;Seul(e) sans enfant;Femme;1;1;0;75;42;40-49 ans;2011;ASSURANCE CONSTRUCTEUR (BMW, HONDA, KAWASAKI...);125;Tous les jours;9000;HONDA;Scooter;Voie publique;Pour les trajets domicile travail;?;Ressources humaines;Cadre;False
1;technicien;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;2;2;77;44;40-49 ans;2019;MACIF;1200;Quelques fois par semaine;12000;TRIUMPH;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;1;technicien;Employé;False
1;RESPONSABLE COMMERCIAL;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;93;47;40-49 ans;2008;EUROPAM;700;Quelques fois par mois;3000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;RESPONSABLE COMMERCIAL;Cadre;False
1;Gérant de société;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;3;4;1;92;66;60-69 ans;2017;AXA;1200;Tous les jours;30000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets professionnels;1200;Gérant de société;Profession libérale et artistique;False
1;Contrôleur principal finances;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;42;64;60-69 ans;2004;MUTUELLE DES MOTARDS;1600;Tous les jours;12000;YAMAHA;Custom;Garage individuel (ou box privatif);Pour les loisirs;1000;Contrôleur principal finances;Profession intermédiaire;False
1;Cadre de santé;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;15;59;50-59 ans;2003;MUTUELLE DES MOTARDS;1200;Quelques fois par an;6000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;?;Cadre de santé;Cadre;False
1;retraité de l armée;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;6;1;4;64;51;50-59 ans;2011;MUTUELLE DES MOTARDS;800;Tous les jours;12000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;retraité de l armée et ouvrier en maroquinerie de luxe;Ouvrier;True
1;En formation Menuiserie. Ex Ca;Non;?;Oui;En couple avec enfant(s);Homme;6;1;4;92;58;50-59 ans;2010;MUTUELLE DES MOTARDS;400;Tous les jours;12000;PIAGGIO;Side-car / Trike;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Menuisier;Artisan, commerçant assimilé;False
1;Photographe;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;11;70;70 et plus;2017;MACIF;1200;Quelques fois par semaine;7000;BMW;Roadster;Garage individuel (ou box privatif);Pour les trajets professionnels;?;Photographe;Profession libérale et artistique;False
1;taxi;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;4;2;2;63;63;60-69 ans;2015;MUTUELLE DES MOTARDS;1200;Quelques fois par mois;3500;TRIUMPH;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;?;retraite;Retraité;False
1;professeur des écoles;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;62;55;50-59 ans;2009;GMF;1000;Quelques fois par mois;7000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;1000;professeur des écoles;Employé;False
1;Aide soignant;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;6;58;50-59 ans;2013;MUTUELLE DES MOTARDS;1200;Tous les jours;10000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Aide soignant;Employé;False
1;technicien sup;Non;Mise à jour;Non;En couple sans enfant;Homme;2;2;0;19;54;50-59 ans;2014;AXA;650;Quelques fois par an;4000;SUZUKI;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;100;technicien sup;Profession libérale et artistique;False
3;Agent de voyages;Non;Mise à jour;Oui;Seul(e) sans enfant;Femme;1;1;0;13;54;50-59 ans;1996;MUTUELLE DES MOTARDS;125;Quelques fois par semaine;3000;HONDA;Custom;Garage individuel (ou box privatif);Pour les loisirs;450;Agent de voyages;Employé;False
1;Technicien maintenance;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;1;0;89;44;40-49 ans;2003;AXA;1000;Quelques fois par semaine;10000;HONDA;Sportive;Garage individuel (ou box privatif);Pour les trajets domicile travail;300;Technicien maintenance;Employé;False
1;Chef de projet;Non;Qualification initiale;Oui;En couple avec enfant(s);Homme;3;1;1;95;48;40-49 ans;2015;MUTUELLE DES MOTARDS;1200;Tous les jours;20000;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;1500;Consultant informatique;Cadre;False
1;Ingenieur;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;1;2;31;63;60-69 ans;2015;AMV (ASSURANCE MOTO VERTE);1200;Quelques fois par semaine;2000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;1000;Ingénieur;Retraité;False
1;ex education nationale;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;15;76;70 et plus;2015;MUTUELLE DES MOTARDS;500;Quelques fois par semaine;8000;HONDA;Roadster;Parking privé clos;Pour les loisirs;?;ex education nationale;Retraité;False
1;Agent Back office;Non;Mise à jour;Oui;Seul(e) avec enfants;Homme;2;2;1;93;56;50-59 ans;2011;MUTUELLE DES MOTARDS;500;Quelques fois par semaine;3000;ENFIELD;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Chargé Moyens Généraux;Cadre;False
1;technicien de maintenance;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;42;64;60-69 ans;2018;MUTUELLE DES MOTARDS;1260;Quelques fois par semaine;8000;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;250;Retraite + Autoentrepreneur;Retraité;False
1;Mécanicien automobile;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;1;2;79;46;40-49 ans;2000;ALLIANZ;600;Quelques fois par semaine;6000;YAMAHA;Roadster;Parking privé non clos;Pour les trajets domicile travail;?;chauffeur accompagnateur;En recherche d emploi;False
1;retraité;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;13;69;60-69 ans;2006;MUTUELLE DES MOTARDS;700;Quelques fois par semaine;6500;HONDA;Routière / GT;Parking privé clos;Pour les loisirs;900;retraité;Retraité;False
1;Ingénieur Méthodes;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;4;2;2;31;47;40-49 ans;2014;AMV (ASSURANCE MOTO VERTE);1200;Tous les jours;13000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Ingénieur Méthodes;Cadre;False
1;Artisan;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;72;63;60-69 ans;2012;MACIF;1200;Quelques fois par mois;4000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les loisirs;600;Artisan;Artisan, commerçant assimilé;False
2;Magasinier;Non;Qualification initiale;Oui;Seul(e) avec enfants;Femme;4;2;3;73;55;50-59 ans;2000;MUTUELLE DES MOTARDS;1000;Quelques fois par semaine;10000;APRILIA;Sportive;Garage individuel (ou box privatif);Pour les loisirs;?;Magasinier;Employé;False
1;semi retraité;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;40;62;60-69 ans;2018;MACIF;850;Quelques fois par semaine;11000;YAMAHA;Roadster;Autre;Pour les loisirs;1000;semi retraité;Retraité;True
1;Responsable Méthode de Product;Non;Mise à jour;Non;En couple sans enfant;Homme;2;2;0;59;58;50-59 ans;2003;MACIF;1200;Quelques fois par semaine;4000;KAWASAKI;Sportive;Garage individuel (ou box privatif);Pour les loisirs;1500;Responsable Qualité Sécurité Environnement;Cadre;False
1;gérant d entreprise;Oui;Mise à jour;Oui;Seul(e) avec enfants;Homme;3;2;2;34;55;50-59 ans;2017;MUTUELLE DES MOTARDS;650;Quelques fois par semaine;10000;SUZUKI;Roadster;Voie publique;Pour les loisirs;500;gérant d entreprise;Profession libérale et artistique;True
3;Chargée d Etudes;Non;Qualification initiale;Oui;En couple sans enfant;Femme;2;1;0;95;30;30-39 ans;2017;MUTUELLE DES MOTARDS;900;Quelques fois par mois;4000;TRIUMPH;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;?;Chargée d Etudes;Cadre;False
3;Employée polyvalente;Non;Mise à jour;Oui;En couple avec enfant(s);Femme;4;1;2;33;39;30-39 ans;2010;MUTUELLE DES MOTARDS;675;Quelques fois par semaine;8000;Triumph;Sportive;Parking privé clos;Pour les trajets domicile travail;?;Responsable rayon fruits et Légumes;Employé;False
1;informatique;Non;Qualification initiale;Non;En couple sans enfant;Homme;2;1;0;59;72;70 et plus;2009;MAAF;1200;Quelques fois par mois;4000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;400;informatique;Retraité;False
1;cadre technique;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;1;1;60;56;50-59 ans;2011;MACIF;1300;Tous les jours;22000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1900;cadre technique;Cadre;False
1;ingénieur d applications 3D;Non;Mise à jour;Non;En couple sans enfant;Homme;2;2;0;91;57;50-59 ans;2016;APRIL MOTO (AMT);950;Tous les jours;10000;DUCATI;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;4500;ingénieur d applications 3D;Cadre;False
1;vendeur;Non;Mise à jour;Non;En couple avec enfant(s);Homme;4;1;2;14;46;40-49 ans;2006;ALLIANZ;1200;Tous les jours;25000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;mécanicien poids lourd;Ouvrier;False
1;Directeur Délégué - Affaires I;Non;Mise à jour;Non;Seul(e) sans enfant;Homme;1;2;0;94;66;60-69 ans;2019;MAIF;1250;Quelques fois par mois;25000;BMW;Trail / Supermotard;Garage individuel (ou box privatif);Pour les loisirs;3000;Retraité;Retraité;False
1;Ingénieur;Non;Mise à jour;Oui;En couple avec enfant(s);Homme;3;1;1;67;55;50-59 ans;1983;MUTUELLE DES MOTARDS;550;Quelques fois par an;1000;YAMAHA;Roadster;Parking privé clos;Pour les loisirs;300;Ingénieur;Cadre;False
1;informaticien;Non;Mise à jour;Non;Seul(e) avec enfants;Homme;2;1;1;77;58;50-59 ans;2011;MACIF;1000;Tous les jours;25000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;400;responsable informatique et télécom;Cadre;False
1;Informatique;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;2;1;75;50;50-59 ans;2007;AUTRE;600;Tous les jours;12000;YAMAHA;Roadster;Parking privé non clos;Pour les trajets domicile travail;500;Ingénieur système en informatique;Cadre;False
1;Responsable contrôles et analy;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;2;0;83;39;30-39 ans;2017;MUTUELLE DES MOTARDS;1000;Quelques fois par mois;8000;BMW;Roadster;Garage individuel (ou box privatif);Pour les loisirs;2000;Responsable contrôles et analy;Cadre;False
1;mecanicien agricole;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;60;30;30-39 ans;2019;MUTUELLE DES MOTARDS;300;Quelques fois par mois;1000;TM RACING;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;mecanicien agricole;Ouvrier;False
1;Ingénieur mécanique;Oui;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;81;41;40-49 ans;2011;MUTUELLE DES MOTARDS;1100;Quelques fois par semaine;6000;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les loisirs;600;Ingénieur mécanique;Cadre;False
1;commissionnaire de transport;Non;Mise à jour;Oui;En couple sans enfant;Homme;2;1;0;93;44;40-49 ans;2013;MUTUELLE DES MOTARDS;1190;Quelques fois par semaine;10000;KTM;Trail / Supermotard;Garage individuel (ou box privatif);Pour les trajets domicile travail;2000;operateur de navire de commerce;Cadre;False
1;facteur;Non;Mise à jour;Oui;Seul(e) sans enfant;Homme;1;1;0;91;46;40-49 ans;2005;MUTUELLE DES MOTARDS;1300;Quelques fois par semaine;8000;HONDA;Roadster;Garage individuel (ou box privatif);Pour les loisirs;500;facteur;Employé;False
1;Chef produit Marketing;Non;Mise à jour;Non;En couple avec enfant(s);Homme;3;1;1;91;54;50-59 ans;2013;FMA;1200;Quelques fois par semaine;8000;HONDA;Routière / GT;Garage individuel (ou box privatif);Pour les trajets professionnels;?;Business Developer;Cadre;True
1;Consultant Avant Vente IT;Non;Qualification initiale;Non;En couple avec enfant(s);Homme;4;1;2;95;42;40-49 ans;2016;AMV (ASSURANCE MOTO VERTE);1050;Tous les jours;20000;TRIUMPH;Roadster;Parking privé clos;Pour les trajets domicile travail;?;Consultant Avant Vente IT;Cadre;False
1;Formateur;Non;Qualification initiale;Non;En couple sans enfant;Homme;2;1;0;77;39;30-39 ans;2012;AMV (ASSURANCE MOTO VERTE);1200;Tous les jours;19000;HONDA;Routière / GT;Parking privé clos;Pour les trajets domicile travail;1000;Formateur;Cadre;False
1;RETRAITE;Non;Mise à jour;Non;En couple sans enfant;Homme;2;1;0;59;67;60-69 ans;2007;MAAF;1200;Quelques fois par semaine;5000;HARLEY-DAVIDSON;Roadster;Garage individuel (ou box privatif);Pour les loisirs;?;RETRAITE;Retraité;False
1;Agent de maîtrise;Non;Qualification initiale;Oui;En couple sans enfant;Homme;2;3;0;87;50;50-59 ans;2013;MUTUELLE DES MOTARDS;1200;Quelques fois par semaine;25000;BMW;Routière / GT;Garage individuel (ou box privatif);Pour les trajets domicile travail;750;Agent de maîtrise;Profession intermédiaire;False
1;Chef de projet;Non;Mise à jour;Non;En couple avec enfant(s);Homme;5;1;3;91;46;40-49 ans;2019;MUTUELLE DES MOTARDS;900;Tous les jours;16000;YAMAHA;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Responsable informatique;Cadre;False
1;Ingénieur;Non;Mise à jour;Non;En couple avec enfant(s);Homme;5;1;3;33;54;50-59 ans;2007;AXA;1000;Tous les jours;5000;DUCATI;Roadster;Garage individuel (ou box privatif);Pour les trajets domicile travail;1000;Ingénieur;Cadre;False
